country_name,year,cow_code,dd,polity_iv
Afghanistan,1946,700,Autocracy,-10
Afghanistan,1947,700,Autocracy,-10
Afghanistan,1948,700,Autocracy,-10
Afghanistan,1949,700,Autocracy,-10
Afghanistan,1950,700,Autocracy,-10
Afghanistan,1951,700,Autocracy,-10
Afghanistan,1952,700,Autocracy,-10
Afghanistan,1953,700,Autocracy,-10
Afghanistan,1954,700,Autocracy,-10
Afghanistan,1955,700,Autocracy,-10
Afghanistan,1956,700,Autocracy,-10
Afghanistan,1957,700,Autocracy,-10
Afghanistan,1958,700,Autocracy,-10
Afghanistan,1959,700,Autocracy,-10
Afghanistan,1960,700,Autocracy,-10
Afghanistan,1961,700,Autocracy,-10
Afghanistan,1962,700,Autocracy,-10
Afghanistan,1963,700,Autocracy,-10
Afghanistan,1964,700,Autocracy,-7
Afghanistan,1965,700,Autocracy,-7
Afghanistan,1966,700,Autocracy,-7
Afghanistan,1967,700,Autocracy,-7
Afghanistan,1968,700,Autocracy,-7
Afghanistan,1969,700,Autocracy,-7
Afghanistan,1970,700,Autocracy,-7
Afghanistan,1971,700,Autocracy,-7
Afghanistan,1972,700,Autocracy,-7
Afghanistan,1973,700,Autocracy,-7
Afghanistan,1974,700,Autocracy,-7
Afghanistan,1975,700,Autocracy,-7
Afghanistan,1976,700,Autocracy,-7
Afghanistan,1977,700,Autocracy,-7
Afghanistan,1989,700,Autocracy,-8
Afghanistan,1990,700,Autocracy,-8
Afghanistan,1991,700,Autocracy,-8
Afghanistan,1996,700,Autocracy,-7
Afghanistan,1997,700,Autocracy,-7
Afghanistan,1998,700,Autocracy,-7
Afghanistan,1999,700,Autocracy,-7
Afghanistan,2000,700,Autocracy,-7
Albania,1946,339,Autocracy,-9
Albania,1947,339,Autocracy,-9
Albania,1948,339,Autocracy,-9
Albania,1949,339,Autocracy,-9
Albania,1950,339,Autocracy,-9
Albania,1951,339,Autocracy,-9
Albania,1952,339,Autocracy,-9
Albania,1953,339,Autocracy,-9
Albania,1954,339,Autocracy,-9
Albania,1955,339,Autocracy,-9
Albania,1956,339,Autocracy,-9
Albania,1957,339,Autocracy,-9
Albania,1958,339,Autocracy,-9
Albania,1959,339,Autocracy,-9
Albania,1960,339,Autocracy,-9
Albania,1961,339,Autocracy,-9
Albania,1962,339,Autocracy,-9
Albania,1963,339,Autocracy,-9
Albania,1964,339,Autocracy,-9
Albania,1965,339,Autocracy,-9
Albania,1966,339,Autocracy,-9
Albania,1967,339,Autocracy,-9
Albania,1968,339,Autocracy,-9
Albania,1969,339,Autocracy,-9
Albania,1970,339,Autocracy,-9
Albania,1971,339,Autocracy,-9
Albania,1972,339,Autocracy,-9
Albania,1973,339,Autocracy,-9
Albania,1974,339,Autocracy,-9
Albania,1975,339,Autocracy,-9
Albania,1976,339,Autocracy,-9
Albania,1977,339,Autocracy,-9
Albania,1978,339,Autocracy,-9
Albania,1979,339,Autocracy,-9
Albania,1980,339,Autocracy,-9
Albania,1981,339,Autocracy,-9
Albania,1982,339,Autocracy,-9
Albania,1983,339,Autocracy,-9
Albania,1984,339,Autocracy,-9
Albania,1985,339,Autocracy,-9
